Charlotte,NC 0
Alexander,NC 107.695
Candler,NC 107.735
Mamers,NC 107.849
Stuart,VA 108.162
New Zion,SC 108.304
Marion,SC 108.323
Johnston,SC 108.336
Eden,NC 108.557
Laurel Bloomery,TN 108.563
New Hill,NC 108.619
Fairmont,NC 108.723
Pickens,SC 108.809
Mebane,NC 108.885
Troutdale,VA 108.918
Fork,SC 108.962
Hillsville,VA 108.994
Patrick Springs,VA 109.066
Lumberton,NC 109.232
Efland,NC 109.246
Shady Valley,TN 109.325
Fayetteville,NC 109.479
Lake View,SC 109.525
Liberty,SC 109.548
Carrboro,NC 109.596
North,SC 109.624
Chapel Hill,NC 109.779
Saint Pauls,NC 110.034
Hope Mills,NC 110.262
Troy,SC 110.49
Elizabethton,TN 110.537
Ridgeway,VA 110.727
Brevard,NC 110.749
Due West,SC 110.775
Pamplico,SC 111.156
Ivanhoe,VA 111.215
Lillington,NC 111.264
Bunnlevel,NC 111.368
Bradley,SC 111.475
Ruffin,NC 111.502
Cripple Creek,VA 111.579
Speedwell,VA 111.603
Milligan College,TN 111.824
Austinville,VA 112.029
Erwin,TN 112.076
Flag Pond,TN 112.123
Dugspur,VA 112.174
Damascus,VA 112.306
Cades,SC 112.554
Sugar Grove,VA 112.83
Lake City,SC 112.856
Wagener,SC 112.913
Marietta,NC 113.027
Holly Springs,NC 113.205
Leicester,NC 113.307
Salley,SC 113.336
Norris,SC 113.373
Proctorville,NC 113.438
Rains,SC 113.696
Cameron,SC 113.771
Fieldale,VA 114.117
Rosman,NC 114.201
Linden,NC 114.481
Watauga,TN 114.554
Kipling,NC 114.721
Mullins,SC 114.739
Fuquay Varina,NC 114.977
Sunset,SC 114.978
Marshall,NC 114.98
Barnesville,NC 115.019
Woolwine,VA 115.079
Pendleton,SC 115.18
Manning,SC 115.288
Hillsborough,NC 115.413
Mountain Home,TN 115.421
Davis Station,SC 115.425
Cedar Grove,NC 115.539
Orangeburg,SC 115.587
Orrum,NC 115.594
Apex,NC 115.662
Bassett,VA 115.738
Bluff City,TN 115.876
Willis,VA 115.877
Pelham,NC 115.914
Summerton,SC 115.966
Six Mile,SC 116.025
Central,SC 116.038
Sandy Springs,SC 116.1
Chilhowie,VA 116.206
Abbeville,SC 116.238
Canton,NC 116.249
Anderson,SC 116.255
Cascade,VA 116.431
Elloree,SC 116.436
Balsam Grove,NC 116.611
Collinsville,VA 116.638
Stanleytown,VA 116.67
Centenary,SC 116.71
Crockett,VA 116.813
La France,SC 116.927
Johnson City,TN 117.068
Edgefield,SC 117.15
Barren Springs,VA 117.183
Yanceyville,NC 117.244
Neeses,SC 117.591
Indian Valley,VA 117.699
Wade,NC 117.711
Lake Toxaway,NC 117.946
Clemson,SC 117.949
Martinsville,VA 118.048
Prospect Hill,NC 118.643
Buies Creek,NC 118.709
Axton,VA 118.79
Glade Spring,VA 119.115
Bristol,TN 119.117
Marion,VA 119.205
Rural Retreat,VA 119.237
Erwin,NC 119.362
Nichols,SC 119.562
Tar Heel,NC 119.699
Greeleyville,SC 119.702
Jonesborough,TN 119.722
Trenton,SC 119.83
Providence,NC 119.846
Cary,NC 119.946
Mc Cormick,SC 119.997
Atkins,VA 120.108
Fair Bluff,NC 120.44
Kingsport,TN 120.452
Floyd,VA 120.454
Piney Flats,TN 120.55
Springfield,SC 120.727
Hiwassee,VA 120.965
Stedman,NC 120.982
Morrisville,NC 121.012
Evergreen,NC 121.121
Durham,NC 121.152
Johnsonville,SC 121.478
Telford,TN 121.507
Wytheville,VA 121.651
Hot Springs,NC 121.699
Starr,SC 121.782
Max Meadows,VA 121.786
Meadowview,VA 121.845
Newry,SC 122.19
Emory,VA 122.195
Henry,VA 122.273
Santee,SC 122.295
Draper,VA 122.555
Angier,NC 122.636
Kingstree,SC 122.675
Lake Junaluska,NC 122.698
Hurdle Mills,NC 122.717
Aiken,SC 122.744
Falcon,NC 122.979
Sapphire,NC 123.17
Abingdon,VA 123.287
Blanch,NC 123.31
Coats,NC 123.311
Calhoun Falls,SC 123.338
White Oak,NC 123.456
Vaucluse,SC 123.622
Hazelwood,NC 123.862
Plum Branch,SC 123.865
Ferrum,VA 123.886
Godwin,NC 123.895
Norway,SC 123.994
Leasburg,NC 124.003
